filter_name,source_script,target_strategy,filter_logic,expected_effect,data_needed,data_available,priority,status,notes
VIX Fix Pause,CM_Williams_Vix_Fix,ALL,Halt trading when WVF > upper BB (22-period highest - low based),Avoid capitulation days. Prevent MEDS-style tail risk.,SPX OHLC,YES,1,NEW,No external data. Pure price.
VIX SMA(5) Cross,VIX Crossing,MEIC / LastFive / Pikes Peak,Only enter when daily VIX < SMA(5),Filter out rising-fear days. ~60% of trading days should pass.,VIX daily close,YES,1,NEW,Simple to implement and backtest.
VIX Momentum Direction,VIX MTF Momentum,ALL,Skip entries when VIX momentum (7-period) > 0,Avoid entering during accelerating fear.,VIX daily close,YES,2,NEW,Very simple. One-line filter.
VIX16 Range Containment,VIX Rule of 16,Zenith / Apex,Only enter fade trades when SPX is within VIX-implied range,Avoid entering when SPX already overextended beyond expected range.,VIX open + SPX open,YES,1,NEW,Use for both entry timing and strike selection.
Term Structure Contango,VIX Curve Pro,ALL,Only trade credit spreads when VIX9D/VIX < 1.0 (contango),Avoid backwardation regime where premium selling is dangerous.,VIX + VIX9D daily,YES,1,NEW,Highest priority filter. Directly addresses regime risk.
VVIX Kill Switch,VIX Option Hedge Monitor,ALL,Halt all trading when VVIX > 140 or spikes 100%+ intraday,Emergency circuit breaker for crash scenarios.,VVIX daily,YES,1,NEW,Would have prevented MEDS disaster on 2026-04-02.
VIX Trend Cloud,VIX Volatility Trend Analysis,MEIC / LastFive,Only enter when smoothed VIX < VIX MA (VIX in downtrend),Ensure fear is declining before selling premium.,VIX daily close,YES,3,NEW,Overlaps with VIX SMA(5) cross. Lower priority.
HMA Directional,Hull Suite,MEDS / MEIC,Use HMA direction on SPX 5min instead of EMA for trend determination,Less whipsaw fewer false signals.,SPX intraday OHLC,YES,2,NEW,Test as EMA replacement in trend-following strategies.
Term Structure Gate (Apex),VIX Curve Pro,Apex,Skip Apex when VIX9D/VIX > 1.05 (backwardation). Conservative threshold to avoid killing too many of Apex's 100% WR trades.,Prevent the rare catastrophic loss that hasn't appeared yet in backtest. Insurance filter.,VIX + VIX9D daily,YES,1,NEW,Apex has 100% WR over 4.25yr. This is insurance against the unseen tail event.
VIX16 Range Position (Apex),VIX Rule of 16,Apex,Compute where SPX sits within VIX-implied daily range at 15:55. If >85% of range = skip call side. If <15% = skip put side.,Avoid selling credit spreads into an already-overextended move. Reduce the one-sided risk.,VIX open + SPX intraday,YES,1,NEW,Both-sides is Apex default. This smart-skips the dangerous side when price is at extreme.
WVF Intraday Check (Apex),CM_Williams_Vix_Fix,Apex,Compute WVF on daily bar. If WVF > 2.0 std above mean at 15:50 skip entry. Catches multi-day selloffs that prior-day filter misses.,Catch intraday capitulation events. Complements prior-day return <1.5% filter.,SPX daily OHLC,YES,2,NEW,Prior-day filter catches yesterday's vol. WVF catches TODAY's panic.
VIX9D/VIX Contango (LastFive),VIX Curve Pro,LastFive,Skip all LastFive trades when VIX9D/VIX > 1.0. Reduce sizing 50% when ratio > 0.95.,Reduce max drawdown from -$5.6k. Avoid regime where short premium is risky.,VIX + VIX9D daily,YES,1,NEW,LastFive already skips VIX>26. This adds structural regime awareness.
WVF Put Guard (LastFive),CM_Williams_Vix_Fix,LastFive,Skip PUT side when daily WVF > percentile(85). Market is in multi-day selloff - put spreads are dangerous.,Complement existing put momentum filter. Catches different pattern - slow grinding selloff vs. sharp afternoon drop.,SPX daily OHLC,YES,1,NEW,Two different put guards: momentum (intraday speed) vs WVF (multi-day panic level).
VIX16 Remaining Move Distance (LastFive),VIX Rule of 16,LastFive,Replace fixed VIX buckets (d=0/3/5) with continuous: dist = ceil(1.5 * SPX*(VIX/15.87/100)*sqrt(5/390) / 5) * 5,More precise strike selection especially in VIX 18-22 zone where current buckets are coarse.,VIX + SPX at 15:55,YES,1,NEW,Continuous calibration > discrete buckets. Should improve risk-adjusted returns.
VVIX Emergency Halt (Both),VIX Option Hedge Monitor,Apex + LastFive,Skip ALL trades when VVIX > 140 (absolute) or VVIX daily change > +30%.,Nuclear option - prevents trading during crash-like vol-of-vol. Very rare trigger (~5 days/year).,VVIX daily,YES,1,NEW,Both strategies enter at 15:55 - last 5 min can still get crushed by late-day panic.
