script_name,category,evaluated_date,complexity,potential_value,look_ahead_bias,repaints,spx_applicability,use_as_filter,use_as_signal,new_strategy_idea,data_available,core_logic_summary,spx_idea_summary,notes
CM_Williams_Vix_Fix Finds Market Bottoms,VIX-Based / Mean Reversion,2026-04-04,2,5,NO,NO,HIGH,YES,YES,YES,YES,Synthetic VIX from price: wvf = ((highest(close 22)-low)/highest(close 22))*100. Spikes on fear. Signals when > BB upper or percentile high.,Bottom-fishing signal for call entries. Filter to pause put spreads during spikes. VIX Fix Reversal strategy idea.,No external data needed - purely price-derived. Most promising in batch.
VIX Crossing,VIX-Based / Momentum,2026-04-04,2,4,NO,NO,HIGH,YES,YES,YES,PARTIAL,Long when VIX crosses under SMA(5) AND NDX > EMA(21). Exit on VIX cross back over or TP/SL/time.,VIX SMA(5) crossunder as universal filter for all bullish strategies. 0DTE: sell put spreads when VIX falling.,Dual confirmation (VIX + trend) is clean. Need intraday VIX for 0DTE timing.
VIX MTF Momentum,VIX-Based / Momentum,2026-04-04,1,3,NO,NO,MEDIUM,YES,NO,NO,YES,Simple momentum of VIX: mom(vix 7). Green=fear declining Red=fear rising. Arrows at extremes.,VIX momentum < 0 = favorable for premium selling. New high in VIX momentum = regime change warning.,Simplest VIX indicator. Good as a quick regime check.
VIX Rule of 16,VIX-Based / Volatility Range,2026-04-04,2,4,POTENTIAL,MINIMAL,VERY HIGH,YES,YES,YES,YES,Converts VIX to expected daily range: price * (VIX/15.87)/100. Draws upper/lower expected boundaries.,Strike selection beyond expected range. Boundary fade strategy. Daily range filter for all strategies.,VIX/16 should be computed daily for ALL strategies. Critical for strike selection.
VIX Reversal Scalper,VIX-Based / Mean Reversion,2026-04-04,2,3,NO,NO,MEDIUM,YES,NO,NO,YES,VIX MA crossunder + price momentum confirmation (mom>mom[1]). Configurable MA type.,Stronger VIX cross signal. Test momentum confirmation layer on top of existing VIX filters.,Overlaps with VIX Crossing. Momentum confirmation is the novel element.
VIX Volatility Trend Analysis,VIX-Based / Trend,2026-04-04,2,3,NO,NO,MEDIUM,YES,NO,NO,YES,Smoothed VIX (RMA 3) vs VIX MA (RMA 10). Cloud fill shows trend. Cross = signal.,VIX downtrend = safe to sell premium. Regime filter.,Overlaps with VIX Crossing and Reversal Scalper. All are VIX MA variants.
VIX Option Hedge Monitor,VIX-Based / Sentiment,2026-04-04,2,4,YES,YES,HIGH,YES,NO,YES,PARTIAL,Monitors VIX option for 200%+ intraday spike = increased hedging. 400%+ = crash imminent.,Crash circuit breaker. HALT all credit spreads when VIX options spike. Could have prevented MEDS disaster.,Uses lookahead_on for daily open. Concept is novel - option-on-option sentiment. Use VVIX as proxy.
VIX Curve Pro,VIX-Based / Term Structure,2026-04-04,3,5,NO,NO,VERY HIGH,YES,YES,YES,PARTIAL,Full VIX term structure: VIX9D/VIX/3M/6M/1Y. Ratios percentiles regime detection (contango/backwardation).,Regime switch filter: credit spreads only in contango. VIX9D/VIX ratio immediately actionable with our data.,Priority 1 implementation. Missing VIX3M/6M/1Y but VIX9D/VIX is available now.
Hull Suite,Momentum / Trend,2026-04-04,2,3,NO,NO,MEDIUM,YES,NO,NO,YES,Hull MA = low-lag moving average. Trend from HMA vs HMA[2]. Band visualization.,HMA as trend filter for credit spread direction. Lower lag than EMA for intraday.,Would need shorter period for 0DTE. Could replace EMA in MEDS-style strategies.
Ichimoku,Momentum / Trend / Structure,2026-04-04,3,2,MINIMAL,NO,LOW,POSSIBLE,NO,NO,YES,Classic Ichimoku Cloud: Tenkan Kijun Chikou Senkou A/B. Bullish above cloud.,Too slow for 0DTE. Daily regime filter only. Low priority.,Skip for our purposes. Daily/weekly timeframe tool.
